<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA,Signal RSI,Signal SO,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010103,102900,109.21,109.24,109.21,109.24,4,0,0,0,-1,-1,0
EURJPY,20010103,103000,109.23,109.23,109.22,109.22,4,0,0,0,-1,-1,0
EURJPY,20010103,103100,109.22,109.22,109.2,109.2,4,-1,0,0,-1,-1,0
EURJPY,20010103,103200,109.19,109.21,109.19,109.21,4,-1,0,0,-1,-1,0
EURJPY,20010103,103300,109.2,109.2,109.18,109.19,4,-1,0,0,-1,-1,0
EURJPY,20010103,103400,109.18,109.18,109.18,109.18,4,-1,0,0,-1,-1,0
EURJPY,20010103,103500,109.17,109.19,109.17,109.19,4,-1,0,1,-1,-1,0
EURJPY,20010103,103600,109.18,109.18,109.18,109.18,4,-1,0,0,-1,-1,0
EURJPY,20010103,103700,109.18,109.19,109.18,109.19,4,0,0,0,-1,-1,0
EURJPY,20010103,103800,109.18,109.19,109.17,109.19,4,0,0,0,1,-1,1
EURJPY,20010103,103900,109.18,109.19,109.17,109.19,4,0,0,0,1,-1,0
EURJPY,20010103,104000,109.19,109.2,109.19,109.2,4,1,0,0,1,-1,0
EURJPY,20010103,104100,109.2,109.21,109.2,109.2,4,1,0,0,1,-1,0
EURJPY,20010103,104200,109.19,109.2,109.19,109.19,4,0,0,0,1,-1,0
EURJPY,20010103,104300,109.19,109.19,109.17,109.17,4,-1,0,0,1,-1,0
EURJPY,20010103,104400,109.16,109.17,109.15,109.15,4,-1,0,0,1,-1,0
EURJPY,20010103,104500,109.16,109.17,109.16,109.17,4,-1,0,1,1,-1,0
EURJPY,20010103,104600,109.18,109.19,109.17,109.17,4,0,0,0,1,-1,0
EURJPY,20010103,104700,109.16,109.16,109.14,109.15,4,-1,0,0,-1,-1,-1
EURJPY,20010103,104800,109.15,109.15,109.15,109.15,4,-1,0,0,-1,-1,0
EURJPY,20010103,104900,109.15,109.16,109.15,109.16,4,0,0,0,1,-1,1
EURJPY,20010103,105000,109.17,109.18,109.15,109.15,4,0,0,0,1,-1,0
EURJPY,20010103,105100,109.15,109.19,109.15,109.19,4,0,0,1,1,-1,0
EURJPY,20010103,105200,109.2,109.2,109.18,109.18,4,1,0,0,1,-1,0
EURJPY,20010103,105300,109.17,109.18,109.16,109.16,4,0,0,0,1,-1,0
EURJPY,20010103,105400,109.17,109.18,109.13,109.15,4,0,0,0,1,-1,0
EURJPY,20010103,105500,109.16,109.17,109.15,109.16,4,0,0,0,1,-1,0
EURJPY,20010103,105600,109.17,109.21,109.16,109.21,4,0,0,0,1,-1,0
EURJPY,20010103,105700,109.22,109.37,109.22,109.37,4,1,0,0,1,1,0
EURJPY,20010103,105800,109.36,109.36,109.33,109.34,4,1,-1,-1,1,1,0
EURJPY,20010103,105900,109.35,109.42,109.35,109.41,4,1,0,0,1,1,0
EURJPY,20010103,110000,109.42,109.43,109.4,109.42,4,1,0,0,1,1,0
EURJPY,20010103,110100,109.43,109.44,109.42,109.43,4,1,0,0,1,1,0
EURJPY,20010103,110200,109.44,109.46,109.39,109.4,4,0,-1,-1,1,1,0
EURJPY,20010103,110300,109.41,109.41,109.36,109.37,4,0,0,0,1,1,0
EURJPY,20010103,110400,109.38,109.4,109.38,109.4,4,-1,0,0,1,1,0
EURJPY,20010103,110500,109.39,109.41,109.39,109.39,4,0,0,0,1,1,0
EURJPY,20010103,110600,109.4,109.43,109.4,109.42,4,0,0,0,1,1,0
EURJPY,20010103,110700,109.42,109.43,109.42,109.42,4,1,0,0,1,1,0
EURJPY,20010103,110800,109.43,109.44,109.42,109.44,4,1,0,0,1,1,0
EURJPY,20010103,110900,109.45,109.46,109.45,109.46,4,1,0,0,1,1,0
EURJPY,20010103,111000,109.45,109.46,109.44,109.45,4,1,-1,-1,1,1,0
EURJPY,20010103,111100,109.44,109.44,109.43,109.44,4,0,0,0,1,1,0
EURJPY,20010103,111200,109.43,109.43,109.41,109.43,4,-1,0,0,1,1,0
EURJPY,20010103,111300,109.42,109.42,109.39,109.39,4,-1,0,0,-1,1,-1
EURJPY,20010103,111400,109.4,109.41,109.39,109.41,4,-1,0,0,-1,1,0
EURJPY,20010103,111500,109.42,109.42,109.41,109.41,4,0,0,0,-1,1,0
EURJPY,20010103,111600,109.42,109.42,109.4,109.4,4,0,0,0,-1,1,0
EURJPY,20010103,111700,109.41,109.42,109.38,109.38,4,0,0,0,-1,1,0
EURJPY,20010103,111800,109.37,109.37,109.34,109.36,4,-1,0,0,-1,1,0
EURJPY,20010103,111900,109.36,109.36,109.35,109.36,4,-1,0,1,-1,1,0
EURJPY,20010103,112000,109.35,109.37,109.34,109.35,4,0,0,0,-1,1,0
EURJPY,20010103,112100,109.36,109.41,109.36,109.41,4,0,0,1,-1,1,0
EURJPY,20010103,112200,109.4,109.4,109.4,109.4,4,1,0,0,-1,1,0
EURJPY,20010103,112300,109.39,109.39,109.38,109.38,4,0,0,0,-1,1,0
EURJPY,20010103,112400,109.37,109.38,109.36,109.38,4,-1,0,0,-1,1,0
EURJPY,20010103,112500,109.37,109.37,109.34,109.34,4,-1,0,0,-1,1,0
EURJPY,20010103,112600,109.33,109.34,109.33,109.34,4,-1,0,0,-1,1,0
EURJPY,20010103,112700,109.35,109.35,109.32,109.33,4,0,0,1,-1,1,0
EURJPY,20010103,112800,109.33,109.33,109.33,109.33,4,-1,0,0,-1,-1,0
EURJPY,20010103,112900,109.34,109.35,109.33,109.33,4,0,0,0,-1,-1,0
EURJPY,20010103,113000,109.34,109.35,109.33,109.34,4,0,0,1,-1,-1,0
EURJPY,20010103,113100,109.35,109.36,109.34,109.34,4,0,0,0,-1,-1,0
EURJPY,20010103,113200,109.33,109.34,109.32,109.32,4,-1,0,0,-1,-1,0
EURJPY,20010103,113300,109.31,109.31,109.31,109.31,4,-1,0,0,-1,-1,0
EURJPY,20010103,113400,109.32,109.32,109.31,109.32,4,0,0,1,-1,-1,0
EURJPY,20010103,113500,109.32,109.33,109.32,109.32,4,0,0,0,-1,-1,0
EURJPY,20010103,113600,109.31,109.33,109.31,109.32,4,0,0,0,-1,-1,0
EURJPY,20010103,113700,109.32,109.32,109.31,109.32,4,0,0,0,-1,-1,0
EURJPY,20010103,113800,109.33,109.34,109.33,109.33,4,1,0,0,-1,-1,0
EURJPY,20010103,113900,109.34,109.35,109.34,109.34,4,1,0,0,-1,-1,0
EURJPY,20010103,114000,109.34,109.36,109.34,109.36,4,1,0,0,1,-1,1
EURJPY,20010103,114100,109.36,109.37,109.34,109.34,4,0,0,0,1,-1,0
EURJPY,20010103,114200,109.35,109.35,109.33,109.33,4,0,0,0,1,-1,0
EURJPY,20010103,114300,109.33,109.33,109.32,109.33,4,-1,0,0,1,-1,0
EURJPY,20010103,114400,109.34,109.34,109.33,109.33,4,0,0,0,1,-1,0
EURJPY,20010103,114500,109.34,109.35,109.34,109.35,4,1,0,0,1,-1,0
EURJPY,20010103,114600,109.36,109.38,109.36,109.38,4,1,0,0,1,-1,0
EURJPY,20010103,114700,109.37,109.39,109.36,109.39,4,1,0,0,1,1,0
EURJPY,20010103,114800,109.38,109.38,109.37,109.37,4,1,0,-1,1,1,0
EURJPY,20010103,114900,109.36,109.36,109.33,109.33,4,-1,0,0,1,1,0
EURJPY,20010103,115000,109.34,109.34,109.29,109.31,4,-1,0,0,-1,-1,-1
EURJPY,20010103,115100,109.3,109.31,109.27,109.28,4,-1,0,0,-1,-1,0
EURJPY,20010103,115200,109.27,109.28,109.26,109.26,4,-1,0,0,-1,-1,0
EURJPY,20010103,115300,109.27,109.27,109.26,109.26,4,-1,0,0,-1,-1,0
EURJPY,20010103,115400,109.25,109.25,109.21,109.22,4,-1,0,1,-1,-1,0
EURJPY,20010103,115500,109.22,109.23,109.2,109.21,4,-1,0,0,-1,-1,0
EURJPY,20010103,115600,109.2,109.24,109.2,109.24,4,0,1,0,-1,-1,0
EURJPY,20010103,115700,109.24,109.24,109.23,109.24,4,1,0,0,-1,-1,0
EURJPY,20010103,115800,109.25,109.27,109.25,109.27,4,1,0,0,-1,-1,0
EURJPY,20010103,115900,109.28,109.32,109.28,109.32,4,1,0,0,-1,-1,0
EURJPY,20010103,120000,109.31,109.31,109.29,109.29,4,1,0,0,1,-1,1
