<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
USDJPY,20010103,2300,114.38,114.39,114.38,114.39,4,114.40955891831221,114.40296075237363,-0.0065981659385840885,-0.00023248188402303304,-1,-1,0
USDJPY,20010103,2400,114.39,114.39,114.38,114.38,4,114.40736936880761,114.39942832893153,-0.007941039876072864,-0.0017741934824329992,-1,-1,0
USDJPY,20010103,2500,114.37,114.39,114.37,114.39,4,114.40608274889593,114.39797781678821,-0.008104932107713125,-0.0030403412074890244,-1,-1,0
USDJPY,20010103,2600,114.39,114.39,114.39,114.39,4,114.40489143416289,114.39675046035926,-0.00814097380363421,-0.004060467726718062,-1,-1,0
USDJPY,20010103,2700,114.39,114.42,114.39,114.42,4,114.40601058718786,114.40032731261168,-0.005683274576185227,-0.004385029096611495,-1,-1,0
USDJPY,20010103,2800,114.42,114.42,114.42,114.42,4,114.40704683998877,114.4033538799022,-0.0036929600865676093,-0.004246615294602718,1,-1,1
USDJPY,20010103,2900,114.42,114.42,114.42,114.42,4,114.40800633332293,114.40591482145571,-0.0020915118672206745,-0.0038155946091263096,1,-1,0
USDJPY,20010103,3000,114.42,114.43,114.42,114.43,4,114.40963549381753,114.40962023353944,-1.5260278090067914e-05,-0.0030555277429190615,1,-1,0
USDJPY,20010103,3100,114.43,114.44,114.43,114.44,4,114.41188471649771,114.41429404376414,0.0024093272664345022,-0.001962556741048349,1,1,0
USDJPY,20010103,3200,114.44,114.44,114.44,114.44,4,114.41396733009047,114.41824880626197,0.004281476171499321,-0.0007137501585388149,1,1,0
USDJPY,20010103,3300,114.44,114.44,114.44,114.44,4,114.4158956760097,114.42159514376013,0.0056994677504320634,0.0005688934232553608,1,1,0
USDJPY,20010103,3400,114.44,114.44,114.44,114.44,4,114.41768118149047,114.42442666010473,0.006745478614263334,0.0018042104614569554,1,1,0
USDJPY,20010103,3500,114.44,114.44,114.44,114.44,4,114.41933442730598,114.42682255855016,0.007488131244173246,0.0029409946180002137,1,1,0
USDJPY,20010103,3600,114.44,114.44,114.44,114.44,4,114.4208652104685,114.42884985723475,0.007984646766246328,0.003949725047649437,1,1,0
