<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010104,11600,105.93,105.94,105.93,105.93,4,105.97843599688693,105.94573993326595,-0.03269606362097477,-0.02931496171454978,-1,-1,0
EURJPY,20010104,11700,105.93,105.95,105.93,105.95,4,105.97632962674714,105.94639532814811,-0.02993429859903074,-0.029438829091445975,-1,-1,0
EURJPY,20010104,11800,105.95,105.97,105.95,105.97,4,105.97586076550662,105.95002681612533,-0.02583394938129402,-0.028717853149415586,1,-1,1
EURJPY,20010104,11900,105.97,105.98,105.97,105.98,4,105.9761673754691,105.95463807518297,-0.02152930028613298,-0.027280142576759068,1,-1,0
EURJPY,20010104,12000,105.99,106.03,105.99,106.03,4,105.9801549772862,105.96623221746252,-0.013922759823685738,-0.024608666026144404,1,-1,0
EURJPY,20010104,12100,106.04,106.04,106.04,106.04,4,105.98458794193168,105.97758110708367,-0.007006834848013455,-0.021088299790518215,1,-1,0
EURJPY,20010104,12200,106.05,106.06,106.04,106.04,4,105.98869253882563,105.98718401368617,-0.0015085251394566512,-0.017172344860305902,1,-1,0
EURJPY,20010104,12300,106.05,106.09,106.05,106.09,4,105.99619679520892,106.00300185773446,0.0068050625255438035,-0.012376863383135962,1,1,0
EURJPY,20010104,12400,106.1,106.12,106.1,106.12,4,106.00536740297122,106.02100157192916,0.015634168957944894,-0.006774656914919791,1,1,0
EURJPY,20010104,12500,106.13,106.13,106.12,106.12,4,106.01385870645483,106.03623209932468,0.022373392869852182,-0.0009450469579653968,1,1,0
EURJPY,20010104,12600,106.12,106.12,106.12,106.12,4,106.0217210244952,106.04911946865934,0.027398444164134617,0.004723651266454606,1,1,0
EURJPY,20010104,12700,106.12,106.12,106.12,106.12,4,106.02900094860667,106.06002416578868,0.0310232171820104,0.009983564449565765,1,1,0
EURJPY,20010104,12800,106.12,106.12,106.1,106.1,4,106.03426013759876,106.06617429412888,0.03191415653012086,0.014369682865676785,1,1,0
EURJPY,20010104,12900,106.1,106.1,106.06,106.06,4,106.03616679407293,106.06522440272444,0.029057608651513078,0.017307268022844047,1,1,0
