<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,%K,%D,Signal SO
EURJPY,20010104,21000,105.8,105.8,105.79,105.79,4,10.000000000005684,23.333333333337123,0.0
EURJPY,20010104,21100,105.79,105.8,105.79,105.79,4,10.000000000005684,16.666666666671404,0.0
EURJPY,20010104,21200,105.79,105.79,105.79,105.79,4,10.000000000005684,10.000000000005684,0.0
EURJPY,20010104,21300,105.8,105.8,105.79,105.79,4,16.666666666674562,12.222222222228643,1.0
EURJPY,20010104,21400,105.79,105.8,105.79,105.8,4,39.999999999994316,22.222222222224854,0.0
EURJPY,20010104,21500,105.79,105.79,105.78,105.78,4,0.0,18.888888888889625,0.0
EURJPY,20010104,21600,105.78,105.78,105.78,105.78,4,0.0,13.333333333331439,0.0
EURJPY,20010104,21700,105.79,105.79,105.79,105.79,4,25.000000000017764,8.333333333339255,1.0
EURJPY,20010104,21800,105.79,105.79,105.79,105.79,4,25.000000000017764,16.66666666667851,0.0
EURJPY,20010104,21900,105.79,105.79,105.79,105.79,4,25.000000000017764,25.000000000017764,0.0
EURJPY,20010104,22000,105.8,105.85,105.8,105.84,4,85.71428571429732,45.23809523811095,0.0
EURJPY,20010104,22100,105.84,105.84,105.83,105.83,4,71.42857142857433,60.714285714296466,0.0
EURJPY,20010104,22200,105.83,105.83,105.83,105.83,4,71.42857142857433,76.190476190482,0.0
EURJPY,20010104,22300,105.83,105.83,105.83,105.83,4,71.42857142857433,71.42857142857433,0.0
EURJPY,20010104,22400,105.83,105.83,105.83,105.83,4,71.42857142857433,71.42857142857433,0.0
EURJPY,20010104,22500,105.83,105.83,105.81,105.81,4,42.85714285714866,61.90476190476577,0.0
EURJPY,20010104,22600,105.8,105.8,105.77,105.77,4,0.0,38.095238095240994,0.0
EURJPY,20010104,22700,105.78,105.79,105.78,105.79,4,25.000000000013323,22.619047619053998,0.0
EURJPY,20010104,22800,105.78,105.78,105.77,105.78,4,12.500000000006661,12.50000000000666,0.0
EURJPY,20010104,22900,105.79,105.81,105.79,105.81,4,50.00000000000888,29.16666666667629,0.0
EURJPY,20010104,23000,105.82,105.83,105.82,105.83,4,75.00000000000445,45.83333333334,0.0
EURJPY,20010104,23100,105.83,105.83,105.83,105.83,4,75.00000000000445,66.6666666666726,0.0
EURJPY,20010104,23200,105.83,105.83,105.83,105.83,4,75.00000000000445,75.00000000000445,0.0
EURJPY,20010104,23300,105.82,105.82,105.81,105.81,4,50.00000000000888,66.6666666666726,0.0
EURJPY,20010104,23400,105.81,105.82,105.81,105.82,4,71.42857142855983,65.47619047619105,0.0
EURJPY,20010104,23500,105.83,105.83,105.83,105.83,4,100.0,73.8095238095229,0.0
EURJPY,20010104,23600,105.83,105.83,105.83,105.83,4,100.0,90.47619047618662,0.0
EURJPY,20010104,23700,105.83,105.83,105.83,105.83,4,100.0,100.0,0.0
EURJPY,20010104,23800,105.83,105.83,105.83,105.83,4,100.0,100.0,0.0
EURJPY,20010104,23900,105.83,105.83,105.83,105.83,4,100.0,100.0,0.0
EURJPY,20010104,24000,105.83,105.83,105.82,105.82,4,83.33333333332544,94.4444444444418,-1.0
EURJPY,20010104,24100,105.82,105.83,105.82,105.82,4,83.33333333332544,88.88888888888363,0.0
EURJPY,20010104,24200,105.82,105.82,105.82,105.82,4,74.99999999998224,80.55555555554437,0.0
EURJPY,20010104,24300,105.82,105.82,105.82,105.82,4,49.99999999996447,69.44444444442405,0.0
EURJPY,20010104,24400,105.82,105.82,105.81,105.81,4,0.0,41.6666666666489,0.0
EURJPY,20010104,24500,105.81,105.81,105.8,105.8,4,0.0,16.666666666654823,0.0
EURJPY,20010104,24600,105.79,105.81,105.79,105.81,4,50.0,16.666666666666668,1.0
EURJPY,20010104,24700,105.81,105.81,105.81,105.81,4,50.0,33.333333333333336,0.0
EURJPY,20010104,24800,105.81,105.81,105.81,105.81,4,50.0,50.0,0.0
EURJPY,20010104,24900,105.82,105.84,105.82,105.84,4,100.0,66.66666666666667,0.0
